iter	Passed	Remaining
0	146	146227
1	148	74083
2	150	50062
3	153	38291
4	156	31125
5	159	26491
6	162	22990
7	165	20490
8	167	18456
9	169	16821
10	173	15607
11	176	14490
12	179	13607
13	181	12766
14	183	12054
15	187	11502
16	189	10932
17	191	10428
18	193	10007
19	195	9571
20	196	9169
21	199	8867
22	201	8549
23	202	8239
24	203	7954
25	205	7700
26	207	7479
27	208	7250
28	209	7030
29	211	6826
30	212	6651
31	214	6484
32	216	6334
33	217	6186
34	219	6041
35	221	5926
36	223	5805
37	224	5690
38	226	5585
39	229	5508
40	232	5428
41	233	5334
42	235	5246
43	238	5173
44	240	5109
45	242	5027
46	243	4935
47	244	4846
48	245	4765
49	247	4699
50	248	4628
51	249	4554
52	250	4481
53	253	4435
54	256	4404
55	258	4355
56	261	4322
57	266	4320
58	267	4267
59	270	4243
60	273	4208
61	276	4188
62	279	4164
63	282	4124
64	286	4119
65	289	4091
66	292	4077
67	294	4039
68	296	3997
69	298	3962
70	300	3927
71	302	3894
72	303	3857
73	305	3826
74	307	3798
75	309	3765
76	311	3732
77	313	3708
78	315	3674
79	316	3639
80	317	3603
81	320	3586
82	321	3549
83	322	3514
84	323	3479
85	324	3445
86	325	3413
87	327	3391
88	329	3373
89	331	3350
90	332	3326
91	335	3308
92	337	3294
93	339	3268
94	341	3251
95	344	3244
96	346	3221
97	347	3196
98	348	3174
99	351	3160
100	352	3140
101	354	3119
102	358	3118
103	359	3098
104	361	3081
105	363	3063
106	365	3053
107	368	3040
108	370	3030
109	373	3021
110	374	3002
111	376	2981
112	377	2961
113	379	2951
114	381	2933
115	382	2914
116	383	2893
117	384	2874
118	387	2866
119	388	2848
120	389	2829
121	390	2809
122	391	2792
123	394	2783
124	395	2771
125	397	2757
126	399	2743
127	402	2740
128	404	2728
129	405	2713
130	407	2700
131	409	2690
132	410	2674
133	411	2657
134	412	2640
135	412	2623
136	413	2606
137	416	2599
138	417	2587
139	418	2571
140	420	2559
141	421	2544
142	440	2637
143	441	2624
144	442	2609
145	443	2596
146	444	2582
147	446	2568
148	447	2558
149	449	2544
150	450	2530
151	451	2516
152	452	2503
153	453	2492
154	455	2484
155	457	2473
156	458	2463
157	460	2452
158	462	2444
159	463	2434
160	464	2420
161	465	2409
162	467	2400
163	470	2395
164	471	2386
165	473	2377
166	474	2365
167	476	2358
168	478	2351
169	480	2344
170	481	2335
171	484	2330
172	486	2325
173	488	2319
174	491	2319
175	493	2309
